"","species","body_mass_g","culmen_length_mm"
"1","Gentoo penguin (Pygoscelis papua)",4500,46.1
"2","Gentoo penguin (Pygoscelis papua)",5700,50
"3","Gentoo penguin (Pygoscelis papua)",4450,48.7
"4","Gentoo penguin (Pygoscelis papua)",5700,50
"5","Gentoo penguin (Pygoscelis papua)",5400,47.6
"6","Gentoo penguin (Pygoscelis papua)",4550,46.5
"7","Gentoo penguin (Pygoscelis papua)",4800,45.4
"8","Gentoo penguin (Pygoscelis papua)",5200,46.7
"9","Gentoo penguin (Pygoscelis papua)",4400,43.3
"10","Gentoo penguin (Pygoscelis papua)",5150,46.8
"11","Gentoo penguin (Pygoscelis papua)",4650,40.9
"12","Gentoo penguin (Pygoscelis papua)",5550,49
"13","Gentoo penguin (Pygoscelis papua)",4650,45.5
"14","Gentoo penguin (Pygoscelis papua)",5850,48.4
"15","Gentoo penguin (Pygoscelis papua)",4200,45.8
"16","Gentoo penguin (Pygoscelis papua)",5850,49.3
"17","Gentoo penguin (Pygoscelis papua)",4150,42
"18","Gentoo penguin (Pygoscelis papua)",6300,49.2
"19","Gentoo penguin (Pygoscelis papua)",4800,46.2
"20","Gentoo penguin (Pygoscelis papua)",5350,48.7
"21","Gentoo penguin (Pygoscelis papua)",5700,50.2
"22","Gentoo penguin (Pygoscelis papua)",5000,45.1
"23","Gentoo penguin (Pygoscelis papua)",4400,46.5
"24","Gentoo penguin (Pygoscelis papua)",5050,46.3
"25","Gentoo penguin (Pygoscelis papua)",5000,42.9
"26","Gentoo penguin (Pygoscelis papua)",5100,46.1
"27","Gentoo penguin (Pygoscelis papua)",4100,44.5
"28","Gentoo penguin (Pygoscelis papua)",5650,47.8
"29","Gentoo penguin (Pygoscelis papua)",4600,48.2
"30","Gentoo penguin (Pygoscelis papua)",5550,50
"31","Gentoo penguin (Pygoscelis papua)",5250,47.3
"32","Gentoo penguin (Pygoscelis papua)",4700,42.8
"33","Gentoo penguin (Pygoscelis papua)",5050,45.1
"34","Gentoo penguin (Pygoscelis papua)",6050,59.6
"35","Gentoo penguin (Pygoscelis papua)",5150,49.1
"36","Gentoo penguin (Pygoscelis papua)",5400,48.4
"37","Gentoo penguin (Pygoscelis papua)",4950,42.6
"38","Gentoo penguin (Pygoscelis papua)",5250,44.4
"39","Gentoo penguin (Pygoscelis papua)",4350,44
"40","Gentoo penguin (Pygoscelis papua)",5350,48.7
"41","Gentoo penguin (Pygoscelis papua)",3950,42.7
"42","Gentoo penguin (Pygoscelis papua)",5700,49.6
"43","Gentoo penguin (Pygoscelis papua)",4300,45.3
"44","Gentoo penguin (Pygoscelis papua)",4750,49.6
"45","Gentoo penguin (Pygoscelis papua)",5550,50.5
"46","Gentoo penguin (Pygoscelis papua)",4900,43.6
"47","Gentoo penguin (Pygoscelis papua)",4200,45.5
"48","Gentoo penguin (Pygoscelis papua)",5400,50.5
"49","Gentoo penguin (Pygoscelis papua)",5100,44.9
"50","Gentoo penguin (Pygoscelis papua)",5300,45.2
"51","Gentoo penguin (Pygoscelis papua)",4850,46.6
"52","Gentoo penguin (Pygoscelis papua)",5300,48.5
"53","Gentoo penguin (Pygoscelis papua)",4400,45.1
"54","Gentoo penguin (Pygoscelis papua)",5000,50.1
"55","Gentoo penguin (Pygoscelis papua)",4900,46.5
"56","Gentoo penguin (Pygoscelis papua)",5050,45
"57","Gentoo penguin (Pygoscelis papua)",4300,43.8
"58","Gentoo penguin (Pygoscelis papua)",5000,45.5
"59","Gentoo penguin (Pygoscelis papua)",4450,43.2
"60","Gentoo penguin (Pygoscelis papua)",5550,50.4
"61","Gentoo penguin (Pygoscelis papua)",4200,45.3
"62","Gentoo penguin (Pygoscelis papua)",5300,46.2
"63","Gentoo penguin (Pygoscelis papua)",4400,45.7
"64","Gentoo penguin (Pygoscelis papua)",5650,54.3
"65","Gentoo penguin (Pygoscelis papua)",4700,45.8
"66","Gentoo penguin (Pygoscelis papua)",5700,49.8
"67","Gentoo penguin (Pygoscelis papua)",4650,46.2
"68","Gentoo penguin (Pygoscelis papua)",5800,49.5
"69","Gentoo penguin (Pygoscelis papua)",4700,43.5
"70","Gentoo penguin (Pygoscelis papua)",5550,50.7
"71","Gentoo penguin (Pygoscelis papua)",4750,47.7
"72","Gentoo penguin (Pygoscelis papua)",5000,46.4
"73","Gentoo penguin (Pygoscelis papua)",5100,48.2
"74","Gentoo penguin (Pygoscelis papua)",5200,46.5
"75","Gentoo penguin (Pygoscelis papua)",4700,46.4
"76","Gentoo penguin (Pygoscelis papua)",5800,48.6
"77","Gentoo penguin (Pygoscelis papua)",4600,47.5
"78","Gentoo penguin (Pygoscelis papua)",6000,51.1
"79","Gentoo penguin (Pygoscelis papua)",4750,45.2
"80","Gentoo penguin (Pygoscelis papua)",5950,45.2
"81","Gentoo penguin (Pygoscelis papua)",4625,49.1
"82","Gentoo penguin (Pygoscelis papua)",5450,52.5
"83","Gentoo penguin (Pygoscelis papua)",4725,47.4
"84","Gentoo penguin (Pygoscelis papua)",5350,50
"85","Gentoo penguin (Pygoscelis papua)",4750,44.9
"86","Gentoo penguin (Pygoscelis papua)",5600,50.8
"87","Gentoo penguin (Pygoscelis papua)",4600,43.4
"88","Gentoo penguin (Pygoscelis papua)",5300,51.3
"89","Gentoo penguin (Pygoscelis papua)",4875,47.5
"90","Gentoo penguin (Pygoscelis papua)",5550,52.1
"91","Gentoo penguin (Pygoscelis papua)",4950,47.5
"92","Gentoo penguin (Pygoscelis papua)",5400,52.2
"93","Gentoo penguin (Pygoscelis papua)",4750,45.5
"94","Gentoo penguin (Pygoscelis papua)",5650,49.5
"95","Gentoo penguin (Pygoscelis papua)",4850,44.5
"96","Gentoo penguin (Pygoscelis papua)",5200,50.8
"97","Gentoo penguin (Pygoscelis papua)",4925,49.4
"98","Gentoo penguin (Pygoscelis papua)",4875,46.9
"99","Gentoo penguin (Pygoscelis papua)",4625,48.4
"100","Gentoo penguin (Pygoscelis papua)",5250,51.1
"101","Gentoo penguin (Pygoscelis papua)",4850,48.5
"102","Gentoo penguin (Pygoscelis papua)",5600,55.9
"103","Gentoo penguin (Pygoscelis papua)",4975,47.2
"104","Gentoo penguin (Pygoscelis papua)",5500,49.1
"105","Gentoo penguin (Pygoscelis papua)",4725,47.3
"106","Gentoo penguin (Pygoscelis papua)",5500,46.8
"107","Gentoo penguin (Pygoscelis papua)",4700,41.7
"108","Gentoo penguin (Pygoscelis papua)",5500,53.4
"109","Gentoo penguin (Pygoscelis papua)",4575,43.3
"110","Gentoo penguin (Pygoscelis papua)",5500,48.1
"111","Gentoo penguin (Pygoscelis papua)",5000,50.5
"112","Gentoo penguin (Pygoscelis papua)",5950,49.8
"113","Gentoo penguin (Pygoscelis papua)",4650,43.5
"114","Gentoo penguin (Pygoscelis papua)",5500,51.5
"115","Gentoo penguin (Pygoscelis papua)",4375,46.2
"116","Gentoo penguin (Pygoscelis papua)",5850,55.1
"117","Gentoo penguin (Pygoscelis papua)",4875,44.5
"118","Gentoo penguin (Pygoscelis papua)",6000,48.8
"119","Gentoo penguin (Pygoscelis papua)",4925,47.2
"120","Gentoo penguin (Pygoscelis papua)",4850,46.8
"121","Gentoo penguin (Pygoscelis papua)",5750,50.4
"122","Gentoo penguin (Pygoscelis papua)",5200,45.2
"123","Gentoo penguin (Pygoscelis papua)",5400,49.9
